260708-14:49:18.665813 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-15:04:18.624197 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-15:04:18.624422 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-15:04:18.624497 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-15:04:18.627887 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-15:04:18.631218 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-15:04:18.631737 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-15:04:18.635692 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-15:04:18.638380 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-15:04:18.638624 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-15:04:18.642458 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-15:19:18.651912 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-15:19:18.652220 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-15:19:18.652315 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
