630
[OneWifi] 260709-19:46:26.188019<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:24.004532<E>  ap_get_handler 2228 vap index : 0
[OneWifi] 260709-20:01:24.009695<E>  ap_get_handler 2228 vap index : 1
[OneWifi] 260709-20:01:24.015831<E>  ap_get_handler 2228 vap index : 16
[OneWifi] 260709-20:01:25.171000<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.171807<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.172471<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.173215<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.179744<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:01:25.180434<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.181037<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.181629<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.934100<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.934673<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.935165<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.935668<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.940517<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:01:25.941139<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:25.941675<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.167782<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.170986<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.171595<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.172178<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.175895<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.181334<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:01:26.182132<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:01:26.182794<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:05:46.164050<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-20:05:47.212439<I>  process_assoc_device_event:1841 Device b6:59:60:77:25:c4 associated with vapindex 1 associated clients count : 6
[OneWifi] 260709-20:05:47.212476<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,6,5,2 
[OneWifi] 260709-20:05:47.212888<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-20:05:47.213571<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.2.AssociatedDevice.6 mac:b6:59:60:77:25:c4
[OneWifi] 260709-20:05:47.246443<I>  get_client_assoc_request_multi:2700 assoc req frame not found for vap_index:1: sta_mac:b6:59:60:77:25:c4 time:0
[OneWifi] 260709-20:06:43.996691<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-20:06:43.997753<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,5,6,2 
